without nodes during rollout,solved,number_of_steps,forward_model_calls,key_found,door_found,goal_found,total_nodes,frontier_nodes,time_elapsed,Average,Steps,FMC,Key,Door,Goal,Total,Frontier,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml1,TRUE,22,0,9,66,390,2246,1983,00:01:41,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml10,TRUE,33,0,37,109,879,2869,2492,00:02:02,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml80,TRUE,21,0,33,516,751,3291,3049,00:02:40,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml130,TRUE,24,0,21,67,352,1640,1383,00:01:01,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml2000,TRUE,19,0,18,584,1074,2443,2233,00:01:05,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml1,TRUE,14,0,9,118,380,2084,1916,00:00:55,,21.8,0,26,196.8,779.2,2862.2,2606.4,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml10,TRUE,25,0,36,168,370,2620,2325,00:01:18,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml80,TRUE,26,0,45,207,825,3484,3185,00:01:58,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml130,TRUE,26,0,21,30,498,3271,2957,00:01:34,Total avg,22.53333333,0,22.93333333,158.6,544.4,1756.866667,1508.2,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml2000,TRUE,18,0,19,461,1823,2852,2649,00:01:10,,,,,,,,,,,,,,,,
